F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB Wilshire Blvd @ Bronson Ave,EB,Wilshire Blvd,Bronson Ave,Norton Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Bronson Ave|7,9,16,19|12345|BD",EB 720_3.MP4 11:23,x
,EB Wilshire Blvd @ Norton Ave,EB,Wilshire Blvd,Norton Ave,Wilton Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Norton Ave|7,9,16,19|12345|BD",EB 720_3.MP4 11:32,x
,EB Wilshire Blvd @ Wilton Pl,EB,Wilshire Blvd,Wilton Pl,St Andrews Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Wilton Pl|7,9,16,19|12345|BD",EB 720_4.MP4 0:25,x
,EB Wilshire Blvd @ St Andrews Pl,EB,Wilshire Blvd,St Andrews Pl,S Western Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ St Andrews Pl|7,9,16,19|12345|BD",EB 720_4.MP4 0:47,x
,EB Wilshire Blvd @ S Western Ave,EB,Wilshire Blvd,S Western Ave,Oxford Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ S Western Ave|7,9,16,19|12345|BD",EB 720_4.MP4 2:08,x
,EB Wilshire Blvd @ Oxford Ave,EB,Wilshire Blvd,Oxford Ave,Serrano Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Oxford Ave|7,9,16,19|12345|BD",EB 720_4.MP4 2:29,x
,EB Wilshire Blvd @ Serrano Ave,EB,Wilshire Blvd,Serrano Ave,Hobart Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Serrano Ave|7,9,16,19|12345|BD",EB 720_4.MP4 2:40,x
,EB Wilshire Blvd @ Hobart Blvd,EB,Wilshire Blvd,Hobart Blvd,Harvard Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Hobart Blvd|7,9,16,19|12345|BD",EB 720_4.MP4 2:51,x
,EB Wilshire Blvd @ Harvard Blvd,EB,Wilshire Blvd,Harvard Blvd,Kingsley Dr,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Harvard Blvd|7,9,16,19|12345|BD",EB 720_4.MP4 3:00,x
,EB Wilshire Blvd @ Kingsley Dr,EB,Wilshire Blvd,Kingsley Dr,Ardmore Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Kingsley Dr|7,9,16,19|12345|BD",EB 720_4.MP4 3:09,x
,EB Wilshire Blvd @ Ardmore Ave,EB,Wilshire Blvd,Ardmore Ave,Normandie Ave/Irolo St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Ardmore Ave|7,9,16,19|12345|BD",EB 720_4.MP4 3:52,x
,EB Wilshire Blvd @ Irolo St,EB,Wilshire Blvd,Irolo St,Mariposa Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Irolo St|7,9,16,19|12345|BD",EB 720_4.MP4 4:18,x
,EB Wilshire Blvd @ S Mariposa Ave,EB,Wilshire Blvd,S Mariposa Ave,Alexandria Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Mariposa Ave|7,9,16,19|12345|BD",EB 720_4.MP4 4:31,x
,EB Wilshire Blvd @ Alexandria Ave,EB,Wilshire Blvd,Alexandria Ave,Catalina St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Alexandria Ave|7,9,16,19|12345|BD",EB 720_4.MP4 4:37,x
,EB Wilshire Blvd @ Catalina St,EB,Wilshire Blvd,Catalina St,Berendo St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Catalina St|7,9,16,19|12345|BD",EB 720_4.MP4 4:55,x
,EB Wilshire Blvd @ Berendo St,EB,Wilshire Blvd,Berendo St,S New Hampshire Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Berendo St|7,9,16,19|12345|BD",EB 720_4.MP4 5:05,x
